Date,Price_in_BTC
2014-09-17,2.699121395341668
2014-09-18,2.8878049762547584
2014-09-19,3.078298867367388
2014-09-22,3.025721678497117
2014-09-23,2.801801876876882
2014-09-24,2.879455616664507
2014-09-25,2.9671454852820127
2014-09-26,3.002039963483793
2014-09-29,3.2426284226276474
2014-09-30,3.128359657305037
2014-10-01,3.166195290866659
2014-10-02,3.237245063386676
2014-10-03,3.3161618333500416
2014-10-06,3.655791233547913
2014-10-07,3.604243795669205
2014-10-08,3.415028164817402
2014-10-09,3.3548294431348364
2014-10-10,3.3770140679209
2014-10-13,3.1487089198024623
2014-10-14,3.0773068341653147
2014-10-15,3.1514311851911287
2014-10-16,3.2426625142244943
2014-10-17,3.2267732868325374
2014-10-20,3.2493567789405637
2014-10-21,3.2369492987728297
2014-10-22,3.248790532715173
2014-10-23,3.4275718695762345
2014-10-24,3.43579496568332
2014-10-27,3.48197798792815
2014-10-28,3.437186919370663
2014-10-29,3.648190912028995
2014-10-30,3.469686222321364
2014-10-31,3.461505273764821
2014-11-03,3.5700985969910994
2014-11-04,3.532309432274362
2014-11-05,3.3739242559314198
2014-11-06,3.270348480870488
2014-11-07,3.415738055864149
2014-11-10,3.160327315994538
2014-11-11,3.1624036923700034
2014-11-12,2.736087627808627
2014-11-13,2.759694382476257
2014-11-14,2.978749127396304
2014-11-17,3.0536282989952017
2014-11-18,3.189515822049686
2014-11-19,3.136471728286693
2014-11-20,3.327464686333039
2014-11-21,3.413159053204225
2014-11-24,3.171920469572703
2014-11-25,3.1893069931930844
2014-11-26,3.248364392993707
2014-11-28,3.1218205467752806
2014-12-01,3.21164422914437
2014-12-02,3.144906293992843
2014-12-03,3.2225806472613687
2014-12-04,3.267010062765127
2014-12-05,3.1579868151858586
2014-12-08,3.3011059754108127
2014-12-09,3.4964042839447727
2014-12-10,3.5479914513949637
2014-12-11,3.4952324176272427
2014-12-12,3.4662537430436866
2014-12-15,3.495634646237076
2014-12-16,3.650378159603358
2014-12-17,3.734802002591994
2014-12-18,3.836593810320523
2014-12-19,3.7625496647697054
2014-12-22,3.5545337850015266
2014-12-23,3.5206175538195543
2014-12-24,3.638376147742117
2014-12-26,3.645051926338064
2014-12-29,3.7793836966236434
2014-12-30,3.862430135638264
2014-12-31,3.697457626149391
2015-01-02,3.764696765048893
2015-01-05,4.386207905657616
2015-01-06,4.260471466726723
2015-01-07,4.112972383664418
2015-01-08,4.264705464211322
2015-01-09,4.187212624850398
2015-01-12,4.6031307310345735
2015-01-13,5.464865958214098
2015-01-14,6.930821190049004
2015-01-15,6.026857982527478
2015-01-16,6.136080883746662
2015-01-20,6.124505767311684
2015-01-21,5.701705765504353
2015-01-22,5.572692726491087
2015-01-23,5.550521892407251
2015-01-26,4.678341416175557
2015-01-27,4.902552125435322
2015-01-28,5.497296288490177
2015-01-29,5.3727200325572415
2015-01-30,5.646461224548384
2015-02-02,5.357030127507466
2015-02-03,5.542794944299258
2015-02-04,5.571008831752498
2015-02-05,5.812695091416673
2015-02-06,5.551456311346127
2015-02-09,5.637181615498897
2015-02-10,5.602281443614028
2015-02-11,5.561512026725873
2015-02-12,5.501794402817321
2015-02-13,5.209682788400813
2015-02-17,4.959155915434953
2015-02-18,5.076461881986157
2015-02-19,5.023659400247168
2015-02-20,4.940540366634304
2015-02-23,5.024446433596879
2015-02-24,5.013508791564117
2015-02-25,5.057480918963731
2015-02-26,5.11618858254336
2015-02-27,4.777250585396749
2015-03-02,4.380962354791875
2015-03-03,4.274020126725593
2015-03-04,4.396320395446076
2015-03-05,4.330178309998198
2015-03-06,4.268433575368315
2015-03-09,4.0275271179435865
2015-03-10,3.9762131092532607
2015-03-11,3.882528653186703
2015-03-12,3.91399457896579
2015-03-13,4.0394339076375285
2015-03-16,3.968781423440985
2015-03-17,4.021996214390192
2015-03-18,4.492409154784848
